"Continent","Country","Date","Births","Gender"
"Africa","Cabo Verde","1985-11-01",222,"Female"
"Africa","Cabo Verde","1985-12-01",264,"Female"
"Africa","Cabo Verde","1985-12-01",232,"Female"
"Africa","Cabo Verde","1990-01-01",294,"Female"
"Africa","Cabo Verde","1990-01-01",265,"Female"
"Africa","Cabo Verde","1990-02-01",227,"Female"
"Africa","Cabo Verde","1990-02-01",205,"Female"
"Africa","Cabo Verde","1990-03-01",235,"Female"
"Africa","Cabo Verde","1990-03-01",212,"Female"
"Africa","Cabo Verde","1990-04-01",204,"Female"
"Africa","Cabo Verde","1990-04-01",183,"Female"
"Africa","Cabo Verde","1990-05-01",179,"Female"
"Africa","Cabo Verde","1990-05-01",162,"Female"
"Africa","Cabo Verde","1990-06-01",127,"Female"
"Africa","Cabo Verde","1990-06-01",115,"Female"
"Africa","Cabo Verde","1990-07-01",190,"Female"
"Africa","Cabo Verde","1990-07-01",171,"Female"
"Africa","Cabo Verde","1990-08-01",207,"Female"
"Africa","Cabo Verde","1990-08-01",186,"Female"
"Africa","Cabo Verde","1990-09-01",209,"Female"
"Africa","Cabo Verde","1990-09-01",188,"Female"
"Africa","Cabo Verde","1990-10-01",277,"Female"
"Africa","Cabo Verde","1990-10-01",249,"Female"
"Africa","Cabo Verde","1990-11-01",262,"Female"
"Africa","Cabo Verde","1990-11-01",237,"Female"
"Africa","Cabo Verde","1990-12-01",255,"Female"
"Africa","Cabo Verde","1990-12-01",229,"Female"
"Africa","Egypt","1980-01-01",43472,"Female"
"Africa","Egypt","1980-01-01",44461,"Female"
"Africa","Egypt","1980-02-01",31332,"Female"
"Africa","Egypt","1980-02-01",32045,"Female"
"Africa","Egypt","1980-03-01",33465,"Female"
"Africa","Egypt","1980-03-01",34226,"Female"
"Africa","Egypt","1980-04-01",28270,"Female"
"Africa","Egypt","1980-04-01",28913,"Female"
"Africa","Egypt","1980-05-01",26122,"Female"
"Africa","Egypt","1980-05-01",26716,"Female"
"Africa","Egypt","1980-06-01",26287,"Female"
"Africa","Egypt","1980-06-01",26885,"Female"
"Africa","Egypt","1980-07-01",30026,"Female"
"Africa","Egypt","1980-07-01",30708,"Female"
"Africa","Egypt","1980-08-01",30015,"Female"
"Africa","Egypt","1980-08-01",30697,"Female"
"Africa","Egypt","1980-09-01",36335,"Female"
"Africa","Egypt","1980-09-01",37162,"Female"
"Africa","Egypt","1980-10-01",31218,"Female"
"Africa","Egypt","1980-10-01",31928,"Female"
"Africa","Egypt","1980-11-01",34599,"Female"
"Africa","Egypt","1980-11-01",35385,"Female"
"Africa","Egypt","1980-12-01",32392,"Female"
"Africa","Egypt","1980-12-01",33128,"Female"
"Africa","Egypt","1982-01-01",49311,"Female"
"Africa","Egypt","1982-01-01",50218,"Female"
